xi,eta,w
3.3333333333333331e-01,3.3333333333333331e-01,3.3980018293415820e-02
4.2694141425980042e-01,4.2694141425980042e-01,2.7800983765226665e-02
4.2694141425980042e-01,1.4611717148039916e-01,2.7800983765226665e-02
1.4611717148039916e-01,4.2694141425980042e-01,2.7800983765226665e-02
2.2137228629183289e-01,2.2137228629183289e-01,2.9139242559599991e-02
2.2137228629183289e-01,5.5725542741633416e-01,2.9139242559599991e-02
5.5725542741633416e-01,2.2137228629183289e-01,2.9139242559599991e-02
2.1509681108843184e-02,2.1509681108843184e-02,3.0261685517695858e-03
2.1509681108843184e-02,9.5698063778231368e-01,3.0261685517695858e-03
9.5698063778231368e-01,2.1509681108843184e-02,3.0261685517695858e-03
4.8907694645253935e-01,4.8907694645253935e-01,1.1997200964447365e-02
4.8907694645253935e-01,2.1846107094921297e-02,1.1997200964447365e-02
2.1846107094921297e-02,4.8907694645253935e-01,1.1997200964447365e-02
6.2354599555367562e-01,3.0844176089211778e-01,1.7320638070424187e-02
6.8012243554206597e-02,6.2354599555367562e-01,1.7320638070424187e-02
3.0844176089211778e-01,6.8012243554206597e-02,1.7320638070424187e-02
3.0844176089211778e-01,6.2354599555367562e-01,1.7320638070424187e-02
6.8012243554206597e-02,3.0844176089211778e-01,1.7320638070424187e-02
6.2354599555367562e-01,6.8012243554206597e-02,1.7320638070424187e-02
8.6470777029544277e-01,1.1092204280346339e-01,7.4827005525828338e-03
2.4370186901093840e-02,8.6470777029544277e-01,7.4827005525828338e-03
1.1092204280346339e-01,2.4370186901093840e-02,7.4827005525828338e-03
1.1092204280346339e-01,8.6470777029544277e-01,7.4827005525828338e-03
2.4370186901093840e-02,1.1092204280346339e-01,7.4827005525828338e-03
8.6470777029544277e-01,2.4370186901093840e-02,7.4827005525828338e-03
7.4850711589995222e-01,1.6359740106785048e-01,1.2089519905796910e-02
8.7895483032197297e-02,7.4850711589995222e-01,1.2089519905796910e-02
1.6359740106785048e-01,8.7895483032197297e-02,1.2089519905796910e-02
1.6359740106785048e-01,7.4850711589995222e-01,1.2089519905796910e-02
8.7895483032197297e-02,1.6359740106785048e-01,1.2089519905796910e-02
7.4850711589995222e-01,8.7895483032197297e-02,1.2089519905796910e-02
7.2235779312418802e-01,2.7251581777342965e-01,4.7953405017716316e-03
5.1263891023823338e-03,7.2235779312418802e-01,4.7953405017716316e-03
2.7251581777342965e-01,5.1263891023823338e-03,4.7953405017716316e-03
2.7251581777342965e-01,7.2235779312418802e-01,4.7953405017716316e-03
5.1263891023823338e-03,2.7251581777342965e-01,4.7953405017716316e-03
7.2235779312418802e-01,5.1263891023823338e-03,4.7953405017716316e-03
